city,latitude,longitude,temperature,humidity,cloudiness,wind speed,country,date
bilisht,40.6275,20.99,37.4,87,90,2.3,AL,1611644199
peshkopi,41.685,20.4289,44.6,87,90,2.3,AL,1611644419
shkoder,42.0683,19.5126,42.8,100,90,4.61,AL,1611644420
vlore,40.4667,19.4897,49.51,88,100,10.67,AL,1611644420
aygeshat,40.0764,44.058,15.8,67,0,1.01,AM,1611644420
odzun,41.0532,44.6134,34.95,73,96,7.72,AM,1611644420
verishen,39.5356,46.3122,34.0,79,90,11.03,AM,1611644420
yeghegnut,40.0919,44.1602,15.8,92,0,0.85,AM,1611644420
nieuwpoort,51.1244,2.7735,39.2,75,75,12.66,BE,1611644420
rafaela,-31.2503,-61.4867,71.01,83,100,1.99,AR,1611644205
san carlos de bariloche,-41.1456,-71.3082,48.2,53,40,12.66,AR,1611644363
san ramon de la nueva oran,-23.1322,-64.326,68.59,94,29,1.36,AR,1611644421
viedma,-40.8135,-62.9967,63.12,66,0,6.42,AR,1611644203
anif,47.75,13.0667,30.2,86,75,3.44,AT,1611644421
hohenems,47.3671,9.7069,33.8,80,90,14.97,AT,1611644421
horbranz,47.55,9.75,33.8,80,90,14.97,AT,1611644421
kitzbuhel,47.4464,12.3922,28.0,78,100,3.36,AT,1611644422
oberwart,47.2897,16.206,30.0,91,94,3.58,AT,1611644422
esperance,-33.8667,121.9,75.2,50,1,20.71,AU,1611644405
xacmaz,41.4635,48.806,44.49,58,100,2.75,AZ,1611644423
xanlar,40.5869,46.3158,37.4,56,75,16.11,AZ,1611644423
gromiljak,43.9667,18.0531,30.2,100,75,5.75,BA,1611644423
kakanj,44.1272,18.1181,30.2,100,75,5.75,BA,1611644423
lakshmipur,22.95,90.8333,78.06,32,0,8.75,BD,1611644423
baelen,50.6313,5.9743,36.0,93,90,12.66,BE,1611644423
burdinne,50.5845,5.0766,35.01,86,75,13.8,BE,1611644424
butgenbach,50.4269,6.205,36.0,93,90,12.66,BE,1611644424
de panne,51.0792,2.5917,39.99,75,75,12.66,BE,1611644424
diksmuide,51.0333,2.8667,39.2,75,75,12.66,BE,1611644424
lichtervelde,51.0283,3.1458,34.0,93,100,1.99,BE,1611644424
seraing,50.5833,5.5,37.0,86,75,13.8,BE,1611644424
sint-lievens-houtem,50.9329,3.8809,34.0,92,100,1.01,BE,1611644424
soignies,50.579,4.0713,33.01,86,75,8.05,BE,1611644425
laki,41.85,24.8167,39.0,87,100,5.75,BG,1611644425
nedelino,41.45,25.0833,52.0,63,100,6.62,BG,1611644425
nikolaevo,42.6333,25.8,35.01,100,100,4.61,BG,1611644426
trojan,53.7897,20.2404,32.0,93,90,9.22,PL,1611644426
limoncito,-18.0167,-63.4,73.4,100,90,10.0,BO,1611644426
agua preta,-8.7075,-35.5306,72.73,92,100,2.48,BR,1611644426
alto piquiri,-24.0281,-53.4406,67.59,94,100,6.11,BR,1611644426
bom conselho,-9.1697,-36.6797,65.46,100,100,4.29,BR,1611644426
conceicao do almeida,-12.7794,-39.17,69.1,98,99,1.81,BR,1611644427
corbelia,-24.7989,-53.3067,64.51,98,97,4.56,BR,1611644427
joao pessoa,-7.115,-34.8631,75.2,94,75,4.61,BR,1611644427
juru,5.312,100.4423,89.6,66,20,10.36,MY,1611644427
lagoa da prata,-20.0225,-45.5436,66.11,91,12,3.71,BR,1611644151
laranjeiras do sul,-25.4078,-52.4161,62.51,100,99,3.44,BR,1611644427
lima duarte,-21.8425,-43.7931,64.99,96,94,2.53,BR,1611644427
mimoso do sul,-21.0642,-41.3664,70.61,90,59,2.35,BR,1611644428
nova prata,-28.7839,-51.61,68.0,99,47,3.0,BR,1611644428
paratinga,-12.6906,-43.1842,70.27,76,2,2.68,BR,1611644428
paulinia,-22.7611,-47.1542,70.0,94,20,2.3,BR,1611644429
pedro ii,-4.4247,-41.4586,67.84,100,98,1.99,BR,1611644429
ponta grossa,-25.095,-50.1619,62.94,99,100,3.42,BR,1611644430
reserva,-24.6503,-50.8506,62.58,100,99,1.86,BR,1611644430
sao jose de mipibu,-6.0747,-35.2378,75.2,94,40,4.61,BR,1611644430
sao mateus do sul,-25.8742,-50.3828,64.45,98,100,3.44,BR,1611644430
valenca do piaui,-6.4075,-41.7456,72.16,81,100,3.98,BR,1611644430
gasa,31.5,34.4667,55.99,57,100,7.4,PS,1611644430
chase,50.8165,-119.6857,28.4,86,100,1.14,CA,1611644430
hanover,52.3705,9.7332,37.99,100,75,2.3,DE,1611644431
les escoumins,48.1111,-69.0236,23.0,86,100,19.57,CA,1611644431
normandin,48.8333,-72.5321,8.6,78,0,9.22,CA,1611644431
peachland,49.7665,-119.7357,28.0,93,100,2.3,CA,1611644431
regina,50.4501,-104.6178,-14.01,76,1,9.22,CA,1611644181
slave lake,55.2834,-114.769,-2.2,78,90,14.97,CA,1611644431
butembo,0.15,29.2833,67.42,79,100,0.83,CD,1611644431
kaniama,-7.5667,24.1833,70.86,90,97,2.98,CD,1611644340
kikwit,-5.041,18.8162,74.39,85,85,1.3,CD,1611644432
nkayi,-4.1841,13.2884,74.59,91,100,0.81,CG,1611644432
kloten,47.4515,8.5849,28.99,80,40,4.61,CH,1611644432
langnau,46.9394,7.7874,26.01,93,75,2.3,CH,1611644432
jacqueville,5.2052,-4.4146,78.8,94,83,3.44,CI,1611644432
coihueco,-36.6167,-71.8333,60.8,59,0,10.36,CL,1611644432
quilpue,-33.045,-71.4494,59.0,94,90,3.44,CL,1611644433
san antonio,29.4241,-98.4936,55.0,81,1,4.88,US,1611644197
temuco,-38.7333,-72.6,42.8,100,68,2.3,CL,1611644433
tome,-36.6167,-72.95,57.2,82,0,9.22,CL,1611644433
buea,4.1527,9.241,77.0,100,40,0.81,CM,1611644433
fengzhen,40.4394,113.1536,25.09,68,0,16.42,CN,1611644433
liaoyang,41.2719,123.1731,23.0,93,90,4.47,CN,1611644242
nanchang,28.6833,115.8833,55.31,50,8,7.92,CN,1611644340
yuxia,34.0615,108.6291,48.2,46,97,4.47,CN,1611644434
ambalema,4.7841,-74.7627,73.96,77,72,1.45,CO,1611644434
andes,5.6561,-75.8788,57.99,97,12,0.22,CO,1611644434
caceres,39.522,-6.3748,55.0,95,100,4.0,ES,1611644434
cachira,7.741,-73.0483,54.95,86,75,5.35,CO,1611644434
el doncello,1.6782,-75.2847,70.23,81,100,2.66,CO,1611644434
el rosal,4.8531,-74.26,47.25,97,98,5.39,CO,1611644434
facatativa,4.8137,-74.3545,47.52,100,98,4.7,CO,1611644435
guatica,5.3157,-75.7983,54.41,100,10,1.07,CO,1611644435
mapiripan,2.8892,-72.1256,73.96,92,100,2.86,CO,1611644435
