city,latitude,longitude,temperature,humidity,cloudiness,wind speed,country,date
arshaluys,40.1684,44.2137,32.0,93,90,3.27,AM,1611979644
geghamasar,40.3109,45.6792,24.49,92,100,3.06,AM,1611979645
lukashin,40.1758,44.0186,32.0,93,90,3.53,AM,1611979645
malishka,39.7376,45.39,32.0,100,90,1.01,AM,1611979645
marmarashen,40.0573,44.4701,32.0,93,90,0.63,AM,1611979645
mrgashen,40.2852,44.5411,32.0,93,90,2.3,AM,1611979645
saramech,40.7749,44.2222,28.4,93,90,1.97,AM,1611979645
engerwitzdorf,48.3451,14.442,43.0,85,100,11.99,AT,1611979645
zell am see,47.3256,12.7944,35.01,93,100,3.8,AT,1611979115
morayfield,-27.1167,152.95,84.99,67,57,8.97,AU,1611979242
qazanbulaq,40.6192,46.6519,42.8,100,90,6.91,AZ,1611979243
podhum,43.7231,17.0011,48.2,81,0,6.91,BA,1611979116
pabna,24.0,89.25,67.77,31,0,9.6,BD,1611979059
raypur,22.4108,88.5094,64.4,77,40,5.75,IN,1611979117
amel,50.3514,6.1681,39.99,100,90,8.05,BE,1611979117
halle,51.5,12.0,30.99,93,75,13.8,DE,1611979117
hannut,50.6714,5.079,44.6,100,75,5.75,BE,1611979117
limbourg,51.25,6.0,35.01,89,100,1.01,NL,1611979118
roeselare,50.95,3.1333,46.0,95,100,1.01,BE,1611979118
wavre,50.7333,4.6,44.6,100,75,5.75,BE,1611979118
welkenraedt,50.6627,5.9733,39.99,100,90,8.05,BE,1611979118
garango,11.8,-0.5506,70.75,21,20,10.89,BF,1611979118
silistra,44.1167,27.2667,42.01,59,100,3.0,BG,1611979118
cankuzo,-3.1333,30.5833,56.75,100,100,2.71,BI,1611979118
la guardia,-17.8917,-63.3305,75.2,88,75,12.66,BO,1611979119
rurrenabaque,-14.4413,-67.5278,72.91,89,45,1.83,BO,1611979119
aguai,-22.0594,-46.9786,68.14,80,20,1.01,BR,1611979119
amambai,-23.1042,-55.2258,70.72,98,85,7.14,BR,1611979119
ares,-6.1944,-35.1603,78.8,83,40,8.05,BR,1611979119
campestre,-21.7111,-46.2464,63.37,87,91,1.3,BR,1611979119
campos novos,-27.4017,-51.225,63.55,100,100,2.28,BR,1611979119
canutama,-6.5339,-64.3831,73.71,97,100,0.38,BR,1611979120
capao da canoa,-29.7456,-50.0097,75.15,88,50,5.68,BR,1611979120
coite do noia,-9.6322,-36.5786,72.39,91,98,4.88,BR,1611979120
frutal,-20.0247,-48.9406,74.75,62,100,4.56,BR,1611979120
ibimirim,-8.5406,-37.6903,72.21,81,99,4.34,BR,1611979120
ipameri,-17.7219,-48.1597,69.96,72,100,5.21,BR,1611979120
itabaianinha,-11.2739,-37.79,70.84,96,100,3.11,BR,1611979120
itai,-23.4178,-49.0906,70.99,88,100,1.72,BR,1611979121
itaporanga,-7.3044,-38.1503,75.2,77,100,4.36,BR,1611979121
laranjeiras do sul,-25.4078,-52.4161,64.44,100,100,3.11,BR,1611979121
monte alegre de minas,-18.8706,-48.8808,73.4,49,0,4.61,BR,1611979121
monte alegre,-2.0078,-54.0692,74.89,89,29,4.07,BR,1611979121
montenegro,42.5,19.3,42.8,93,90,3.44,ME,1611979121
monte santo de minas,-21.1897,-46.9803,67.41,82,95,3.51,BR,1611979121
natuba,-7.6414,-35.55,73.4,88,40,11.5,BR,1611979121
nazare,-13.035,-39.0144,72.77,92,97,1.45,BR,1611979122
nova olimpia,-14.7972,-57.2881,72.77,89,98,3.8,BR,1611979122
